,Year,Win%,Games,Val,PrevAS,WikiViews,AS
Marquese Chriss,2019,0.565,15.0,32.9,0.0,31714.0,0.0
Anfernee Simons,2019,0.604,10.0,31.1,0.0,33507.0,0.0
Jordan Loyd,2019,0.729,4.0,40.2,0.0,13399.0,0.0
Emmanuel Mudiay,2019,0.222,38.0,53.7,0.0,72967.0,0.0
Keita Bates-Diop,2019,0.478,3.0,30.7,0.0,18813.0,0.0
Kosta Koufos,2019,0.511,27.0,40.6,0.0,29359.0,0.0
Timothé Luwawu-Cabarrot,2019,0.609,21.0,33.9,0.0,21270.0,0.0
Abdel Nader,2019,0.609,28.0,39.2,0.0,35954.0,0.0
Justise Winslow,2019,0.489,40.0,52.5,0.0,43792.0,0.0
Yuta Watanabe,2019,0.404,8.0,34.4,0.0,56155.0,0.0
Andrew Harrison,2019,0.468,17.0,36.2,0.0,597.0,0.0
Ivan Rabb,2019,0.404,18.0,40.1,0.0,12620.0,0.0
Jon Leuer,2019,0.435,30.0,40.5,0.0,19524.0,0.0
Henry Ellenson,2019,0.435,2.0,44.0,0.0,15325.0,0.0
Troy Williams,2019,0.511,18.0,41.9,0.0,14943.0,0.0
Wesley Johnson,2019,0.468,24.0,38.2,0.0,927.0,0.0
James Nunnally,2019,0.565,15.0,36.3,0.0,34044.0,0.0
Lou Williams,2019,0.543,40.0,60.9,0.0,100512.0,0.0
Monte Morris,2019,0.689,45.0,54.1,0.0,869.0,0.0
Marcin Gortat,2019,0.543,39.0,44.2,0.0,49375.0,0.0
Zaza Pachulia,2019,0.435,36.0,44.4,0.0,75229.0,0.0
Wayne Selden,2019,0.234,40.0,38.5,0.0,462.0,0.0
Dillon Brooks,2019,0.404,18.0,39.9,0.0,37128.0,0.0
Kyle Anderson,2019,0.404,41.0,53.0,0.0,1074.0,0.0
MarShon Brooks,2019,0.404,29.0,41.3,0.0,51718.0,0.0
Jaren Jackson Jr.,2019,0.404,47.0,55.1,0.0,89160.0,0.0
Shelvin Mack,2019,0.404,45.0,47.2,0.0,16521.0,0.0
Chandler Parsons,2019,0.404,3.0,36.7,0.0,70214.0,0.0
Garrett Temple,2019,0.404,47.0,46.9,0.0,21389.0,0.0
JaMychal Green,2019,0.404,35.0,50.8,0.0,12260.0,0.0
Mike Conley,2019,0.404,46.0,68.6,0.0,1492.0,0.0
Marc Gasol,2019,0.404,46.0,63.2,3.0,90886.0,0.0
Zach Lofton,2019,0.435,1.0,31.0,0.0,6675.0,0.0
Glenn Robinson III,2019,0.435,29.0,38.2,0.0,30656.0,0.0
Joe Harris,2019,0.521,44.0,54.9,0.0,803.0,0.0
Ish Smith,2019,0.435,25.0,43.1,0.0,17569.0,0.0
Langston Galloway,2019,0.435,44.0,45.0,0.0,17870.0,0.0
Bruce Brown,2019,0.435,39.0,40.5,0.0,4971.0,0.0
Luke Kennard,2019,0.435,28.0,45.0,0.0,497.0,0.0
Andre Drummond,2019,0.435,44.0,64.1,2.0,88003.0,0.0
Reggie Jackson,2019,0.435,46.0,52.6,0.0,67057.0,0.0
Rodions Kurucs,2019,0.521,31.0,47.7,0.0,37005.0,0.0
Treveon Graham,2019,0.521,11.0,37.4,0.0,8000.0,0.0
Ed Davis,2019,0.521,47.0,49.0,0.0,676.0,0.0
Spencer Dinwiddie,2019,0.521,48.0,59.1,0.0,86302.0,0.0
Jarrett Allen,2019,0.521,46.0,60.5,0.0,63414.0,0.0
Caris LeVert,2019,0.521,14.0,61.6,0.0,125443.0,0.0
Thaddeus Young,2019,0.674,46.0,57.9,0.0,30020.0,0.0
Bojan Bogdanović,2019,0.674,46.0,58.6,0.0,69961.0,0.0
Darren Collison,2019,0.674,46.0,55.4,0.0,28339.0,0.0
Myles Turner,2019,0.674,41.0,59.2,0.0,616.0,0.0
Mo Bamba,2019,0.426,42.0,45.3,0.0,3270.0,0.0
Terrence Ross,2019,0.426,47.0,53.3,0.0,42716.0,0.0
Jerian Grant,2019,0.426,40.0,41.5,0.0,31247.0,0.0
Jonathon Simmons,2019,0.426,37.0,40.7,0.0,17116.0,0.0
Jonathan Isaac,2019,0.426,41.0,46.4,0.0,31092.0,0.0
D.J. Augustin,2019,0.426,46.0,55.8,0.0,205.0,0.0
Evan Fournier,2019,0.426,46.0,52.5,0.0,37367.0,0.0
Nikola Vučević,2019,0.426,46.0,73.8,0.0,82683.0,0.0
