Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,Player-additional
130,Allen Robinson,PIT,30,WR,17,17,49,34,280,0,9,212,6.2,68,2.0,7.6,0,,0,0.0,1,75.2,RobiAl02
131,Noah Brown,HOU,27,WR,10,7,55,33,567,2,24,344,10.4,223,6.8,12.0,1,33.0,3,5.5,0,107.2,BrowNo00
132,Zach Charbonnet,SEA,22,RB,16,2,40,33,209,0,7,-39,-1.2,248,7.5,-1.0,2,16.5,2,5.0,0,88.4,CharZa00
133,Taysom Hill,NOR,33,QB,16,7,40,33,291,2,11,158,4.8,133,4.0,5.2,3,11.0,1,2.5,0,113.6,HillTa00
134,DeVante Parker,NWE,30,WR,13,13,55,33,394,0,17,268,8.1,126,3.8,11.6,2,16.5,3,5.5,2,66.8,ParkDe01
135,Rashod Bateman,BAL,24,WR,16,12,56,32,367,1,20,308,9.6,59,1.8,14.5,1,32.0,4,7.1,3,60.6,BateRa00
136,Noah Fant,SEA,26,TE,17,17,43,32,414,0,16,237,7.4,177,5.5,6.9,1,32.0,1,2.3,1,94.5,FantNo00
137,Pat Freiermuth,PIT,25,TE,12,9,47,32,308,2,17,163,5.1,145,4.5,6.6,2,16.0,0,0.0,1,91.4,FreiPa00
138,Alec Pierce,IND,23,WR,17,16,65,32,514,2,24,417,13.0,97,3.0,14.9,1,32.0,3,4.6,1,79.9,PierAl00
139,Kyren Williams*,LAR,23,RB,12,11,48,32,206,3,9,-69,-2.2,275,8.6,0.2,1,32.0,4,8.3,1,87.7,WillKy02
140,Tucker Kraft,GNB,23,TE,17,8,40,31,355,2,18,123,4.0,232,7.5,3.9,4,7.8,0,0.0,0,120.3,KrafTu00
141,Jaleel McLaughlin,DEN,23,RB,17,3,36,31,160,2,5,-130,-4.2,290,9.4,-3.9,8,3.9,2,5.6,0,103.7,McLaJa00
142,Darnell Mooney,CHI,26,WR,15,14,61,31,414,1,20,233,7.5,181,5.8,10.3,1,31.0,3,4.9,3,57.7,MoonDa00
143,Kenneth Gainwell,PHI,24,RB,16,2,37,30,183,0,11,8,0.3,175,5.8,1.9,2,15.0,1,2.7,0,87.3,GainKe00
144,Kylen Granson,IND,25,TE,15,7,50,30,368,1,19,240,8.0,128,4.3,8.0,0,,3,6.0,0,89.4,GranKy00
145,Aaron Jones,GNB,29,RB,11,11,43,30,233,1,13,-38,-1.3,271,9.0,-1.1,6,5.0,4,9.3,0,90.6,JoneAa00
146,Isaiah Likely,BAL,23,TE,17,8,40,30,411,5,15,195,6.5,216,7.2,6.2,6,5.0,3,7.5,0,147.0,LikeIs00
147,Alexander Mattison,MIN,25,RB,16,13,44,30,192,3,5,11,0.4,181,6.0,0.5,1,30.0,7,15.9,0,99.8,MattAl01
148,Devin Singletary,HOU,26,RB,17,10,38,30,193,0,7,-24,-0.8,217,7.2,0.3,2,15.0,2,5.3,0,87.8,SingDe00
149,Mike Gesicki,NWE,28,TE,17,10,45,29,244,2,11,148,5.1,96,3.3,8.3,0,,0,0.0,2,74.7,GesiMi00
150,Najee Harris,PIT,25,RB,17,17,38,29,170,0,9,-5,-0.2,175,6.0,0.2,6,4.8,2,5.3,0,84.3,HarrNa00
151,Brandon Powell,MIN,28,WR,17,2,44,29,324,1,18,220,7.6,104,3.6,7.5,1,29.0,1,2.3,1,85.8,PoweBr00
152,JuJu Smith-Schuster,NWE,27,WR,11,7,47,29,260,1,13,166,5.7,94,3.2,7.0,0,,2,4.3,4,48.2,SmitJu00
